family,order,occurrence_count,individual_count
Aethozoidae,Ctenostomatida,255,1771
Aethridae,Decapoda,4238,4734
Aetideidae,Calanoida,35069,67351
Aetiocetidae,Cetacea,44,17
Aetiopedesidae,Amphipoda,35,99
Aetobatidae,Myliobatiformes,2,2
Aeverrilliidae,Ctenostomatida,98,22
Aextoxicaceae,Berberidopsidales,1506,106
Afifellaceae,Rhizobiales,1040,
Afrotarsiidae,Primates,11,
Agalliidae,Hemiptera,679,
Agalmatidae,Siphonophorae,4053,4464
Agaonidae,Hymenoptera,18003,9737
Agapythidae,Coleoptera,1,
Agaraceae,Laminariales,1183,51
Agardhiellidae,Stylommatophora,456,239
Agaricaceae,Agaricales,668269,432382625
Agariciidae,Scleractinia,85450,228912
Agaricostilbaceae,Agaricostilbales,2809,
Agatheliidae,Scleractinia,167,155
Agathemeridae,Phasmida,600,170
Agathiceratidae,Goniatitida,688,322
Agathiphagidae,Lepidoptera,66,12
Agathiphylliidae,Scleractinia,403,719
Agathotanaidae,Tanaidacea,2458,8279
Agdestidaceae,Caryophyllales,657,509
Agelasidae,Agelasida,10381,3631
Agelenidae,Araneae,147894,95540
Ageneiosidae,Siluriformes,3,1
Agetopanorpidae,Mecoptera,81,1
Agfidae,Rhabditida,13,1
Aggregatidae,Eucoccidiorida,692,10
Aggregatilineaceae,Aggregatilineales,32,48
Aglajidae,Cephalaspidea,11533,3601
Aglaocetidae,Artiodactyla,24,4
Aglaopheniidae,Leptothecata,37319,5713
Agnaridae,Isopoda,3613,3630
Agnathiellidae,Bursovaginoidea,17,16
Agneziidae,Phlebobranchia,1020,1328
Agnostidae,Agnostida,4272,2032
Agoniatitidae,Agoniatitida,390,179
Agonidae,Scorpaeniformes,58719,10814082
Agoristenidae,Opiliones,564,544
Agorophiidae,Cetacea,24,38
Agostocarididae,Decapoda,21,28
Agraulidae,Ptychopariida,976,719
Agriochoeridae,Artiodactyla,2168,4611
Agriolimacidae,Stylommatophora,96058,96341
Agriotypidae,Hymenoptera,98,141
Agromyzidae,Diptera,249844,184712
Agyriaceae,Pertusariales,2705,385
Agyrtidae,Coleoptera,3096,3275
Ahnfeltiaceae,Ahnfeltiales,12652,1131
Ahniellaceae,Xanthomonadales,229,
Aididae,Lepidoptera,577,101
Aigialaceae,Pleosporales,911,4
Aillyidae,Stylommatophora,40,53
Ailuridae,Carnivora,870,169
Ainigmacrinidae,Encrinida,1,
Aipichthyidae,Beryciformes,58,47
Aipoceratidae,Nautilida,24,15
Aiptasiidae,Actiniaria,9203,3727
Aiptasiomorphidae,Actiniaria,80,50
Aisenvergiidae,Trepostomatida,1131,1705
Aizoaceae,Caryophyllales,285757,308554
Ajellomycetaceae,Onygenales,1501,14
Akaniaceae,Brassicales,1220,22
